Paper_name,Paper_link,Paper_type,volume,issue,pub_date,Paper_ID,1,2,3,4,5,6,7
The power of relativistic jets is larger than the luminosity of their accretion disks,/nature/journal/v515/n7527/full/nature13856.html,letter,515,7527,20 November 2014,13856.html,Astronomy and planetary science,,,,,,
Artificial chemical and magnetic structure at the domain walls of an epitaxial oxide,/nature/journal/v515/n7527/full/nature13918.html,letter,515,7527,20 November 2014,13918.html,Physics,Two-dimensional materials,Ferroelectrics and multiferroics,Magnetic properties and materials,,,
Approaching disorder-free transport in high-mobility conjugated polymers,/nature/journal/v515/n7527/full/nature13854.html,letter,515,7527,20 November 2014,13854.html,Molecular electronics,Electronic devices,Conjugated polymers,Electronic and spintronic devices,,,
Overcoming the limitations of directed C H functionalizations of heterocycles,/nature/journal/v515/n7527/full/nature13885.html,letter,515,7527,20 November 2014,13885.html,Organic chemistry,,,,,,
Agricultural Green Revolution as a driver of increasing atmospheric CO 2 u seasonal amplitude,/nature/journal/v515/n7527/full/nature13893.html,letter,515,7527,20 November 2014,13893.html,Biogeochemistry,,,,,,
Direct human influence on atmospheric CO 2 u seasonality from increased cropland productivity,/nature/journal/v515/n7527/full/nature13957.html,letter,515,7527,20 November 2014,13957.html,Agri-ecology,Atmospheric chemistry,,,,,
Topologically associating domains are stable units of replication-timing regulation,/nature/journal/v515/n7527/full/nature13986.html,letter,515,7527,20 November 2014,13986.html,Chromosomes,DNA replication,Data integration,Nuclear organization,,,
The drivers of tropical speciation,/nature/journal/v515/n7527/full/nature13687.html,letter,515,7527,20 November 2014,13687.html,Speciation,,,,,,
Individual improvements and selective mortality shape lifelong migratory performance,/nature/journal/v515/n7527/full/nature13696.html,letter,515,7527,20 November 2014,13696.html,Animal migration,,,,,,
Synaptic dysregulation in a human iPS cell model of mental disorders,/nature/journal/v515/n7527/full/nature13716.html,letter,515,7527,20 November 2014,13716.html,Developmental disorders,,,,,,
Tissue-specific clocks in  Arabidopsis u show asymmetric coupling,/nature/journal/v515/n7527/full/nature13919.html,letter,515,7527,20 November 2014,13919.html,Plant signalling,Plant physiology,,,,,
Members of the human gut microbiota involved in recovery from  Vibrio cholerae u infection,/nature/journal/v515/n7527/full/nature13738.html,letter,515,7527,20 November 2014,13738.html,Microbiome,,,,,,
Structure of malaria invasion protein RH5 with erythrocyte basigin and blocking antibodies,/nature/journal/v515/n7527/full/nature13715.html,letter,515,7527,20 November 2014,13715.html,Parasitology,X-ray crystallography,,,,,
Ischaemic accumulation of succinate controls reperfusion injury through mitochondrial ROS,/nature/journal/v515/n7527/full/nature13909.html,letter,515,7527,20 November 2014,13909.html,Metabolomics,,,,,,
Transcript-RNA-templated DNA recombination and repair,/nature/journal/v515/n7527/full/nature13682.html,letter,515,7527,20 November 2014,13682.html,Genomic instability,Double-strand DNA breaks,DNA recombination,Enzyme mechanisms,,,
A cross-chiral RNA polymerase ribozyme,/nature/journal/v515/n7527/full/nature13900.html,letter,515,7527,20 November 2014,13900.html,RNA,Catalytic RNA,Nucleic acids,,,,
Discovery and characterization of small molecules that target the GTPase Ral,/nature/journal/v515/n7527/full/nature13713.html,letter,515,7527,20 November 2014,13713.html,Targeted therapies,Virtual screening,Drug development,Oncogenes,,,
Structures of bacterial homologues of SWEET transporters in two distinct conformations,/nature/journal/v515/n7527/full/nature13670.html,letter,515,7527,20 November 2014,13670.html,X-ray crystallography,Transporters,,,,,
A comparative encyclopedia of DNA elements in the mouse genome,/nature/journal/v515/n7527/full/nature13992.html,article,515,7527,20 November 2014,13992.html,Epigenomics,,,,,,
Conservation of trans-acting circuitry during mammalian regulatory evolution,/nature/journal/v515/n7527/full/nature13972.html,article,515,7527,20 November 2014,13972.html,Evolutionary biology,Gene regulation,,,,,
Principles of regulatory information conservation between mouse and human,/nature/journal/v515/n7527/full/nature13985.html,article,515,7527,20 November 2014,13985.html,Functional genomics,Functional genomics,,,,,
The expanding fireball of Nova Delphini 2013,/nature/journal/v515/n7526/full/nature13834.html,letter,515,7526,13 November 2014,13834.html,Stars,,,,,,
Experimental realization of the topological Haldane model with ultracold fermions,/nature/journal/v515/n7526/full/nature13915.html,letter,515,7526,13 November 2014,13915.html,Quantum mechanics,Ultracold gases,,,,,
Observation of topological transitions in interacting quantum circuits,/nature/journal/v515/n7526/full/nature13891.html,letter,515,7526,13 November 2014,13891.html,Quantum mechanics,Qubits,Topological insulators,,,,
Interfacial mode coupling as the origin of the enhancement of  T c u in FeSe films on SrTiO 3 ,/nature/journal/v515/n7526/full/nature13894.html,letter,515,7526,13 November 2014,13894.html,Superconducting properties and materials,"Surfaces, interfaces and thin films",,,,,
Formic-acid-induced depolymerization of oxidized lignin to aromatics,/nature/journal/v515/n7526/full/nature13867.html,letter,515,7526,13 November 2014,13867.html,Organic chemistry,,,,,,
Subduction-driven recycling of continental margin lithosphere,/nature/journal/v515/n7526/full/nature13878.html,letter,515,7526,13 November 2014,13878.html,Geodynamics,Tectonics,Geophysics,Seismology,,,
